"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","epidermis development","170/4550","402/18860",0.422885572139304,1.75288393198841,8.6038721033157,4.32217931077183e-16,2.69055662095546e-12,2.25845243143909e-12,"2296/80736/3868/4904/1029/338785/5351/2146/3925/3889/7051/1956/50604/2171/7357/5080/55612/4851/3066/2255/1001/3854/4233/7027/8985/646/3857/25818/117531/8549/596/5650/5317/5465/3887/427/4488/286262/204219/6608/286887/51083/728361/80326/9368/3892/5454/8399/94234/11005/6768/8796/2709/3853/84189/170961/247/2810/51599/301/1969/9333/9076/10913/3852/2627/9355/196374/3872/3891/388533/124842/3885/60401/79755/56603/29841/3861/7124/652/6615/3713/3850/643414/25928/10083/374454/23581/10855/6662/6699/43847/5920/5727/344167/375791/29986/57822/9497/222223/23596/3918/6820/3914/22943/3890/7022/3488/3888/2118/79987/79413/55506/9573/11166/1775/26154/60529/9119/57216/64919/23493/222662/140807/135228/3851/3882/51806/4014/6706/7401/121391/4613/2735/26281/3855/7480/388697/388698/1475/6705/1638/5308/64332/5744/643418/340654/353142/2312/242/84648/1041/6703/448834/3605/6278/6698/147409/6704/3849/163778/353132/100129271/254910/474/353139/6707/51350/353145/353131",170
"GO:0019730","antimicrobial humoral response","93/4550","184/18860",0.505434782608696,2.09505494505495,8.41682119641205,6.62144846429288e-15,1.25064192887332e-11,1.04978846500565e-11,"128822/671/5266/4316/6374/5646/6364/2919/25818/2597/6590/1672/128821/5650/3627/5443/57115/114771/11005/3853/26525/7018/2627/9547/2921/6355/730249/6354/133/6362/3576/566/6372/6357/6373/6376/3346/8970/1511/6280/6863/4922/283/5657/78989/354/5197/6358/6369/3500/6370/6283/6038/10344/3507/10578/796/2244/6352/5473/3501/1755/28912/3502/5196/4069/5967/5225/6346/6360/117159/4283/84659/128488/1991/8346/149708/3605/6278/112744/3497/6700/140832/3495/1673/4879/3347/164237/2243/4852/85569/6406/1669",93
"GO:0007218","neuropeptide signaling pathway","66/4550","113/18860",0.584070796460177,2.42100554312944,8.54307690284375,6.63777351119499e-15,1.25064192887332e-11,1.04978846500565e-11,"2925/887/128674/4986/9427/9607/124274/64106/10874/5697/5443/11248/51083/4828/7301/84109/60675/11247/4886/347148/2743/5540/53831/2742/84634/2831/2922/6863/114815/4922/27344/2770/6752/4923/2861/10886/10178/1363/10800/100996758/7349/5173/23620/4887/10316/344758/6753/116/6755/339403/10887/5368/387129/56923/84417/3062/6866/4889/84539/2834/4879/4988/4852/85569/4158/113091",66
"GO:0031424","keratinization","53/4550","82/18860",0.646341463414634,2.67912087912088,8.59230000888283,8.03625335822215e-15,1.25064192887332e-11,1.04978846500565e-11,"3868/338785/3889/7051/1001/3854/25818/3887/204219/286887/3892/3853/2810/3852/196374/3872/3891/56603/3713/3850/643414/374454/23581/6699/3890/3888/26154/9119/140807/3851/4014/6706/121391/3855/388697/6705/643418/340654/353142/84648/1041/6703/6698/6704/3849/163778/353132/254910/353139/6707/51350/353145/353131",53
"GO:0003341","cilium movement","119/4550","269/18860",0.442379182156134,1.83368601658564,7.76555488277085,2.80689188878935e-13,3.49458040154274e-10,2.93334975493691e-10,"152015/7802/51364/152110/54763/480/25876/80127/138162/149465/90506/26074/123872/585/79846/79925/352909/55726/83853/644890/1767/134121/85413/8632/54777/338879/1672/55036/64800/84223/154865/164395/22873/80217/8382/56171/84074/158787/126075/118491/54970/23639/129881/9368/9576/220136/25790/389799/642987/122664/55779/5360/27019/6652/53340/361/200162/89876/79816/83538/388701/10566/339778/6863/83659/345895/132954/115948/27285/200523/203074/79659/1952/26206/159686/126820/1770/80157/160762/8701/9148/219681/139212/1768/93233/92749/127003/84688/26330/399949/124637/150483/93190/6869/255101/146279/146845/440585/164781/83894/107983988/200373/11189/647309/81492/54514/57119/1235/286464/6870/284076/50487/63978/6866/164714/5232/374768/126402/6406",119
"GO:0030216","keratinocyte differentiation","87/4550","180/18860",0.483333333333333,2.00344322344322,7.62756351461063,1.24547507735543e-12,1.11048016575766e-09,9.32136722523104e-10,"2296/3868/1029/338785/2146/3889/7051/50604/7357/5080/4851/1001/3854/25818/5317/3887/427/4488/204219/286887/728361/3892/6768/8796/3853/247/2810/301/1969/3852/196374/3872/3891/56603/29841/3861/3713/3850/643414/374454/23581/6699/5920/29986/23596/3890/7022/3888/2118/79413/55506/1775/26154/9119/64919/140807/135228/3851/4014/6706/121391/3855/388697/1475/6705/64332/643418/340654/353142/2312/84648/1041/6703/3605/6278/6698/147409/6704/3849/163778/353132/254910/353139/6707/51350/353145/353131",87
"GO:0043588","skin development","137/4550","329/18860",0.416413373860182,1.72605631450616,7.49141816088697,1.24873271651463e-12,1.11048016575766e-09,9.32136722523104e-10,"2296/3868/1029/338785/2146/3925/3889/7051/1956/50604/7357/5080/55612/4851/3066/2255/1001/3854/4233/3857/25818/8549/596/5317/81031/3887/427/4488/204219/6608/286887/6261/51083/728361/80326/3892/8399/94234/11005/6768/8796/3853/247/2810/51599/301/1969/9076/10913/3852/2627/9355/196374/3872/10673/3891/79755/56603/29841/3861/7124/6615/3713/3655/3850/54101/643414/25928/51761/374454/23581/10855/6662/6699/5920/7021/344167/375791/29986/57822/23596/26050/22943/3691/3890/7022/3488/3888/121549/2118/79413/55506/11166/1775/26154/60529/9119/57216/64919/140807/135228/3851/4014/6706/121391/3855/7480/388697/388698/1475/6705/4050/168002/64332/643418/340654/353142/2312/242/84648/1041/6703/448834/3605/6278/6698/147409/6704/3849/163778/353132/254910/353139/6707/51350/353145/353131",137
"GO:0021953","central nervous system neuron differentiation","109/4550","245/18860",0.444897959183673,1.84412648575914,7.49901566379183,1.78848074054308e-12,1.39166157623508e-09,1.1681603152705e-09,"2019/2066/4137/143941/1749/8543/2047/7832/5080/658/4851/4133/2049/130574/7101/79600/2290/164832/23287/650/2016/54149/4781/2737/6608/6422/5457/343472/5454/57731/58524/374946/5578/64211/429/1969/3400/2624/55906/4040/10215/2637/64843/2048/340719/161357/6092/5629/166614/6324/5727/9760/401/22943/79659/7484/137970/4929/6423/7022/431707/10716/57282/1630/4808/1746/1996/151449/3670/64919/50937/2020/8022/79625/1600/2253/7080/23440/85442/23017/6096/55079/8929/3952/1141/338917/2636/389549/7476/57795/26038/869/6656/9723/2895/121643/1745/1620/1813/1812/170302/120237/170825/256297/652991/474/4852/5458/167826",109
"GO:0009913","epidermal cell differentiation","112/4550","255/18860",0.43921568627451,1.82057315233786,7.4390549767324,2.46878931300927e-12,1.70757927483141e-09,1.43334153798573e-09,"2296/80736/3868/1029/338785/2146/3889/7051/50604/7357/5080/4851/3066/1001/3854/25818/117531/5317/3887/427/4488/286262/204219/286887/728361/9368/3892/11005/6768/8796/3853/84189/170961/247/2810/301/1969/3852/2627/196374/3872/3891/124842/56603/29841/3861/652/3713/3850/643414/10083/374454/23581/6699/5920/5727/344167/29986/9497/23596/6820/3890/7022/3888/2118/79413/55506/9573/1775/26154/9119/64919/23493/222662/140807/135228/3851/4014/6706/7401/121391/4613/2735/26281/3855/388697/1475/6705/5308/64332/643418/340654/353142/2312/84648/1041/6703/3605/6278/6698/147409/6704/3849/163778/353132/254910/474/353139/6707/51350/353145/353131",112
"GO:2000241","regulation of reproductive process","93/4550","206/18860",0.451456310679612,1.87131121305879,7.09032493985114,2.78141195607589e-11,1.73142894265724e-08,1.45336094210113e-08,"2099/367/84072/991/7272/993/10635/9319/79846/2001/3066/8912/55726/3239/259266/26271/646/27161/994/6790/338879/1672/84944/1761/10361/4488/8531/10549/2827/124817/6422/3955/5327/8399/57082/2661/57829/283471/122664/100/5016/652/346673/55231/6615/166863/8521/995/27306/284071/6954/7422/89766/10343/126206/143471/6662/6863/2697/441161/1618/4824/9088/3976/1843/5243/3815/4838/344758/6869/655/431705/644186/388553/56729/5730/84690/57119/339345/7783/1235/100506013/5047/6870/56979/63978/6866/167/4880/6690/2516/136541/6406",93
